ID,Type_Bowl,Type_Box,Type_Robot,Type_Region,Property_V,Property_G,Position_x,Position_y,Position_z,Orientation_x,Orientation_y,Orientation_z
Robot_hand,0,0,1,0,0,0,0.0,0.0,0.5,0,0,0.0
Box1,0,1,0,0,0,1,0.4130107836048176,0.23736052833965052,0.0,0,0,9.35887479378136
Box2,0,1,0,0,1,1,0.31537503110515275,0.05434722163442909,0.12,0,0,-7.7527964125259246
Box3,0,1,0,0,0,1,0.31537503110515275,0.05434722163442909,0.08,0,0,-7.7527964125259246
Box4,0,1,0,0,1,1,0.31537503110515275,0.05434722163442909,0.04,0,0,-7.7527964125259246
Box5,0,1,0,0,0,1,0.31537503110515275,0.05434722163442909,0.0,0,0,-7.7527964125259246
Box6,0,1,0,0,0,1,0.3104913455176189,0.14171170918728643,0.0,0,0,-4.397227958259997
Box7,0,1,0,0,0,1,0.21803814498227597,0.255293769621707,0.0,0,0,-12.29478791786024
Box8,0,1,0,0,0,1,0.2148796659549303,0.041505449133984254,0.0,0,0,24.4044833092063
Box9,0,1,0,0,1,1,0.2239527655667811,0.13873087738153453,0.0,0,0,35.68661805701791
Box_Bw1,0,1,0,0,0,1,-0.2,-0.1,0.0,0,0,0.0
Box_Bw2,0,1,0,0,1,1,-0.2,-0.2,0.0,0,0,0.0
Box_Bw3,0,1,0,0,1,1,-0.2,-0.3,0.0,0,0,0.0
Box_Bw4,0,1,0,0,1,1,-0.2,-0.4,0.0,0,0,0.0
Box_Bw5,0,1,0,0,0,1,-0.2,-0.5,0.0,0,0,0.0
Bowl1,1,0,0,0,0,1,-0.2,-0.1,0.0,0,0,0.0
Bowl2,1,0,0,0,0,1,-0.2,-0.2,0.0,0,0,0.0
Bowl3,1,0,0,0,0,1,-0.2,-0.3,0.0,0,0,0.0
Bowl4,1,0,0,0,0,1,-0.2,-0.4,0.0,0,0,0.0
Bowl5,1,0,0,0,0,1,-0.2,-0.5,0.0,0,0,0.0
Bowl6,1,0,0,0,0,1,-0.1,-0.4,0.0,0,0,0.0
Bowl7,1,0,0,0,0,1,-0.1,-0.5,0.0,0,0,0.0
Region_Bw1,0,0,0,1,0,0,-0.2,-0.1,0.0,0,0,0.0
Region_Bw2,0,0,0,1,0,0,-0.2,-0.2,0.0,0,0,0.0
Region_Bw3,0,0,0,1,0,0,-0.2,-0.3,0.0,0,0,0.0
Region_Bw4,0,0,0,1,0,0,-0.2,-0.4,0.0,0,0,0.0
Region_Bw5,0,0,0,1,0,0,-0.2,-0.5,0.0,0,0,0.0
Region_Bw6,0,0,0,1,0,0,-0.1,-0.4,0.0,0,0,0.0
Region_Bw7,0,0,0,1,0,0,-0.1,-0.5,0.0,0,0,0.0
Region_Stack,0,0,0,1,0,0,0.15,0.3,0.0,0,0,0.0
Region_Pour,0,0,0,1,0,0,0.15,-0.3,0.0,0,0,0.0
Region_Free,0,0,0,1,0,0,0.15,0.0,0.0,0,0,0.0
Region_Clean,0,0,0,1,0,0,-0.15,0.45,0.0,0,0,0.0
