ID,rel_on_right,rel_on_left,rel_in_right,rel_in_left,rel_in_grasp,rel_grasp,rel_attach
"('Box1', 'Bowl1')",0,0,1,0,0,0,0
"('Box1', 'Table')",0,0,0,0,0,0,0
"('Box2', 'Bowl2')",0,0,0,0,0,0,0
"('Box2', 'Table')",0,0,0,0,0,0,0
"('Box3', 'Bowl3')",0,0,0,0,0,0,0
"('Box3', 'Table')",0,0,0,0,0,0,0
"('Box4', 'Bowl4')",0,0,0,0,0,0,0
"('Box4', 'Table')",0,0,0,0,0,0,0
"('Box5', 'Bowl5')",0,0,0,0,0,0,0
"('Box5', 'Table')",0,0,0,0,0,0,0
"('Bowl1', 'Box1')",0,0,0,1,0,0,0
"('Bowl1', 'Table')",0,0,0,0,0,0,0
"('Bowl2', 'Box2')",0,0,0,0,0,0,0
"('Bowl2', 'Table')",1,0,0,0,0,0,0
"('Bowl3', 'Box3')",0,0,0,0,0,0,0
"('Bowl3', 'Table')",1,0,0,0,0,0,0
"('Bowl4', 'Box4')",0,0,0,0,0,0,0
"('Bowl4', 'Table')",1,0,0,0,0,0,0
"('Bowl5', 'Box5')",0,0,0,0,0,0,0
"('Bowl5', 'Table')",1,0,0,0,0,0,0
"('Bowl6', 'Table')",1,0,0,0,0,0,0
"('Bowl7', 'Table')",1,0,0,0,0,0,0
"('Table', 'Box1')",0,0,0,0,0,0,0
"('Table', 'Box2')",0,0,0,0,0,0,0
"('Table', 'Box3')",0,0,0,0,0,0,0
"('Table', 'Box4')",0,0,0,0,0,0,0
"('Table', 'Box5')",0,0,0,0,0,0,0
"('Table', 'Bowl1')",0,0,0,0,0,0,0
"('Table', 'Bowl2')",0,1,0,0,0,0,0
"('Table', 'Bowl3')",0,1,0,0,0,0,0
"('Table', 'Bowl4')",0,1,0,0,0,0,0
"('Table', 'Bowl5')",0,1,0,0,0,0,0
"('Table', 'Bowl6')",0,1,0,0,0,0,0
"('Table', 'Bowl7')",0,1,0,0,0,0,0
"('Robot_hand', 'Bowl5')",0,0,0,0,0,0,0
"('Bowl5', 'Robot_hand')",0,0,0,0,0,0,0
"('Box5', 'Bowl6')",0,0,1,0,0,0,0
"('Bowl6', 'Box5')",0,0,0,1,0,0,0
"('Robot_hand', 'Bowl4')",0,0,0,0,0,0,0
"('Bowl4', 'Robot_hand')",0,0,0,0,0,0,0
"('Box4', 'Bowl6')",0,0,1,0,0,0,0
"('Bowl6', 'Box4')",0,0,0,1,0,0,0
"('Box4', 'Box5')",0,0,0,0,0,0,1
"('Box4', 'Box4 + Box5')",0,0,0,0,0,0,0
"('Box4', 'Box3 + Box4 + Box5')",0,0,0,0,0,0,0
"('Box5', 'Box4')",0,0,0,0,0,0,1
"('Box5', 'Box4 + Box5')",0,0,0,0,0,0,0
"('Box5', 'Box3 + Box4 + Box5')",0,0,0,0,0,0,0
"('Bowl6', 'Box4 + Box5')",0,0,0,1,0,0,0
"('Bowl6', 'Box3 + Box4 + Box5')",0,0,0,1,0,0,0
"('Box4 + Box5', 'Box4')",0,0,0,0,0,0,0
"('Box4 + Box5', 'Box5')",0,0,0,0,0,0,0
"('Box4 + Box5', 'Bowl6')",0,0,1,0,0,0,0
"('Box3 + Box4 + Box5', 'Box4')",0,0,0,0,0,0,0
"('Box3 + Box4 + Box5', 'Box5')",0,0,0,0,0,0,0
"('Box3 + Box4 + Box5', 'Bowl6')",0,0,1,0,0,0,0
"('Robot_hand', 'Bowl3')",0,0,0,0,0,0,0
"('Bowl3', 'Robot_hand')",0,0,0,0,0,0,0
"('Box3', 'Bowl6')",0,0,1,0,0,0,0
"('Bowl6', 'Box3')",0,0,0,1,0,0,0
"('Box3', 'Box4 + Box5')",0,0,0,0,0,0,1
"('Box3', 'Box3 + Box4 + Box5')",0,0,0,0,0,0,0
"('Box4 + Box5', 'Box3')",0,0,0,0,0,0,1
"('Box4 + Box5', 'Box4 + Box5')",0,0,0,0,0,0,0
"('Box4 + Box5', 'Box3 + Box4 + Box5')",0,0,0,0,0,0,0
"('Box3 + Box4 + Box5', 'Box3')",0,0,0,0,0,0,0
"('Box3 + Box4 + Box5', 'Box4 + Box5')",0,0,0,0,0,0,0
"('Robot_hand', 'Bowl2')",0,0,0,0,0,0,0
"('Bowl2', 'Robot_hand')",0,0,0,0,0,0,0
"('Box2', 'Bowl6')",0,0,1,0,0,0,0
"('Bowl6', 'Box2')",0,0,0,1,0,0,0
"('Robot_hand', 'Bowl1')",0,0,0,0,0,1,0
"('Bowl1', 'Robot_hand')",0,0,0,0,1,0,0
"('Box1', 'Bowl6')",0,0,0,0,0,0,0
"('Bowl6', 'Box1')",0,0,0,0,0,0,0
"('Box1', 'Bowl7')",0,0,0,0,0,0,0
"('Box2', 'Bowl7')",0,0,0,0,0,0,0
"('Box3', 'Bowl7')",0,0,0,0,0,0,0
"('Box4', 'Bowl7')",0,0,0,0,0,0,0
"('Box5', 'Bowl7')",0,0,0,0,0,0,0
"('Bowl7', 'Box1')",0,0,0,0,0,0,0
"('Bowl7', 'Box2')",0,0,0,0,0,0,0
"('Bowl7', 'Box3')",0,0,0,0,0,0,0
"('Bowl7', 'Box4')",0,0,0,0,0,0,0
"('Bowl7', 'Box5')",0,0,0,0,0,0,0
"('Bowl7', 'Box4 + Box5')",0,0,0,0,0,0,0
"('Bowl7', 'Box3 + Box4 + Box5')",0,0,0,0,0,0,0
"('Box4 + Box5', 'Bowl7')",0,0,0,0,0,0,0
"('Box3 + Box4 + Box5', 'Bowl7')",0,0,0,0,0,0,0
