ID,Type_Bowl,Type_Box,Type_Robot,Type_Region,Property_V,Property_G,Position_x,Position_y,Position_z,Orientation_x,Orientation_y,Orientation_z
Robot_hand,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0
Box1,0,1,0,0,1,1,0.0450043745798419,-0.1557285463322484,0.0872478341943317,54.49601916270717,164.51809993452292,-30.84309343705766
Box2,0,1,0,0,0,1,-0.0076604422739836,-0.1842291227414243,0.0311607630794859,50.4199425001496,-54.93761144719966,-97.47760312006476
Box3,0,1,0,0,0,1,0.0305819788955723,-0.1839647516930334,0.0738147273902329,58.46538889610776,129.47938494476136,79.87440993255149
Box4,0,1,0,0,0,1,0.4236559006496425,0.0638475661852074,0.0,0.0,0.0,-21.376929498831405
Box5,0,1,0,0,0,1,0.4197856288597115,0.153504551935506,0.0,0.0,0.0,1.9550915718155508
Box6,0,1,0,0,1,1,0.4163682541135478,0.2638974521699059,0.0,0.0,0.0,-0.5872956949070058
Box7,0,1,0,0,1,1,0.1866180713969752,0.0311637351028241,0.0,0.0,0.0,-1.263774997520109
Box8,0,1,0,0,0,1,0.1802950485234808,0.152575003252011,0.0,0.0,0.0,44.23314667518038
Box9,0,1,0,0,0,1,0.2090068354269401,0.2497391597879922,0.0,0.0,0.0,33.135928887071955
Box_Bw1,0,1,0,0,1,1,0.0208274276619328,-0.166791925669092,0.0548288037920086,-42.039252010738494,144.26994998104743,-24.672626452339472
Box_Bw2,0,1,0,0,0,1,0.0,0.0,0.5,0.0,0.0,0.0
Box_Bw3,0,1,0,0,0,1,-0.2,-0.3,0.0,0.0,0.0,0.0
Box_Bw4,0,1,0,0,0,1,-0.2,-0.4,0.0,0.0,0.0,0.0
Box_Bw5,0,1,0,0,0,1,-0.2,-0.5,0.0,0.0,0.0,0.0
Bowl1,1,0,0,0,0,1,-0.2,-0.1,0.0,0.0,0.0,0.0
Bowl2,1,0,0,0,0,1,0.0,0.0,0.5,0.0,0.0,0.0
Bowl3,1,0,0,0,0,1,-0.2,-0.3,0.0,0.0,0.0,0.0
Bowl4,1,0,0,0,0,1,-0.2,-0.4,0.0,0.0,0.0,0.0
Bowl5,1,0,0,0,0,1,-0.2,-0.5,0.0,0.0,0.0,0.0
Bowl6,1,0,0,0,0,1,0.0190486153293047,-0.1897798433421952,0.0,0.0,0.0,0.0
Bowl7,1,0,0,0,0,1,0.0561199638674821,-0.297309880433713,0.0,0.0,0.0,0.0
Region_Bw1,0,0,0,1,0,0,-0.2,-0.1,0.0,0.0,0.0,0.0
Region_Bw2,0,0,0,1,0,0,-0.2,-0.2,0.0,0.0,0.0,0.0
Region_Bw3,0,0,0,1,0,0,-0.2,-0.3,0.0,0.0,0.0,0.0
Region_Bw4,0,0,0,1,0,0,-0.2,-0.4,0.0,0.0,0.0,0.0
Region_Bw5,0,0,0,1,0,0,-0.2,-0.5,0.0,0.0,0.0,0.0
Region_Bw6,0,0,0,1,0,0,-0.1,-0.4,0.0,0.0,0.0,0.0
Region_Bw7,0,0,0,1,0,0,-0.1,-0.5,0.0,0.0,0.0,0.0
Region_Stack,0,0,0,1,0,0,0.15,0.3,0.0,0.0,0.0,0.0
Region_Pour,0,0,0,1,0,0,0.15,-0.3,0.0,0.0,0.0,0.0
Region_Free,0,0,0,1,0,0,0.15,0.0,0.0,0.0,0.0,0.0
Region_Clean,0,0,0,1,0,0,-0.15,0.45,0.0,0.0,0.0,0.0
