ID,rel_on_right,rel_on_left,rel_in_right,rel_in_left,rel_in_grasp,rel_grasp,rel_attach
"(1, 8)",1,0,0,0,0,0,0
"(2, 8)",1,0,0,0,0,0,0
"(3, 8)",1,0,0,0,0,0,0
"(4, 8)",0,0,0,0,0,0,0
"(5, 8)",1,0,0,0,0,0,0
"(6, 8)",1,0,0,0,0,0,0
"(7, 8)",1,0,0,0,0,0,0
"(8, 1)",0,1,0,0,0,0,0
"(8, 2)",0,1,0,0,0,0,0
"(8, 3)",0,1,0,0,0,0,0
"(8, 4)",0,0,0,0,0,0,0
"(8, 5)",0,1,0,0,0,0,0
"(8, 6)",0,1,0,0,0,0,0
"(8, 7)",0,1,0,0,0,0,0
"(0, 4)",0,0,0,0,0,1,0
"(4, 0)",0,0,0,0,1,0,0
"(4, 5)",0,0,0,0,0,0,0
"(5, 4)",0,0,0,0,0,0,0
"(8, 45)",0,1,0,0,0,0,0
"(45, 8)",1,0,0,0,0,0,0
"(0, 3)",0,0,0,0,0,0,0
"(3, 0)",0,0,0,0,0,0,0
"(3, 45)",0,0,0,0,0,0,0
"(45, 3)",0,0,0,0,0,0,0
"(0, 2)",0,0,0,0,0,0,0
"(2, 0)",0,0,0,0,0,0,0
"(2, 3)",0,0,0,0,0,0,0
"(3, 2)",0,0,0,0,0,0,0
"(0, 1)",0,0,0,0,0,0,0
"(1, 0)",0,0,0,0,0,0,0
