ID,rel_on_right,rel_on_left,rel_in_right,rel_in_left,rel_in_grasp,rel_grasp,rel_attach
"('Box1', 'Table')",1,0,0,0,0,0,0
"('Box2', 'Table')",0,0,0,0,0,0,0
"('Box3', 'Table')",0,0,0,0,0,0,0
"('Box4', 'Table')",1,0,0,0,0,0,0
"('Box5', 'Table')",1,0,0,0,0,0,0
"('Bowl1', 'Table')",1,0,0,0,0,0,0
"('Bowl2', 'Table')",1,0,0,0,0,0,0
"('Table', 'Box1')",0,1,0,0,0,0,0
"('Table', 'Box2')",0,0,0,0,0,0,0
"('Table', 'Box3')",0,0,0,0,0,0,0
"('Table', 'Box4')",0,1,0,0,0,0,0
"('Table', 'Box5')",0,1,0,0,0,0,0
"('Table', 'Bowl1')",0,1,0,0,0,0,0
"('Table', 'Bowl2')",0,1,0,0,0,0,0
"('Robot_hand', 'Box3')",0,0,0,0,0,0,0
"('Box3', 'Robot_hand')",0,0,0,0,0,0,0
"('Box3', 'Box4')",0,0,0,0,0,0,1
"('Box4', 'Box3')",0,0,0,0,0,0,1
"('Table', 'Box3 + Box4')",0,1,0,0,0,0,0
"('Box3 + Box4', 'Table')",1,0,0,0,0,0,0
"('Robot_hand', 'Box2')",0,0,0,0,0,1,0
"('Box2', 'Robot_hand')",0,0,0,0,1,0,0
"('Box2', 'Box3 + Box4')",0,0,0,0,0,0,0
"('Table', 'Box2 + Box3 + Box4')",0,0,0,0,0,0,0
"('Box3 + Box4', 'Box2')",0,0,0,0,0,0,0
"('Box2 + Box3 + Box4', 'Table')",0,0,0,0,0,0,0
"('Robot_hand', 'Box2 + Box3 + Box4')",0,0,0,0,0,0,0
"('Box2 + Box3 + Box4', 'Robot_hand')",0,0,0,0,0,0,0
"('Box5', 'Box2 + Box3 + Box4')",0,0,0,0,0,0,0
"('Box2 + Box3 + Box4', 'Box5')",0,0,0,0,0,0,0
"('Robot_hand', 'Box1')",0,0,0,0,0,0,0
"('Box1', 'Robot_hand')",0,0,0,0,0,0,0
"('Box1', 'Box2 + Box3 + Box4')",0,0,0,0,0,0,0
"('Box2 + Box3 + Box4', 'Box1')",0,0,0,0,0,0,0
